symbol,strategy,entry_ts,exit_ts,side,entry_price,exit_price,quantity,raw_pnl,entry_fee,exit_fee,pnl_net,pnl_bps
ETHUSDT,S2,1780520608163,1780520609243,Long,1788.067542,1787.452438,1.0,-0.6151039999999739,0.0,0.0,-0.6151039999999739,-3.440049022488066
ETHUSDT,S2,1780520617209,1780520623244,Long,1790.9081099999999,1789.871954,1.0,-1.0361559999998917,0.0,0.0,-1.0361559999998917,-5.785645808482557
ETHUSDT,S2,1780520677647,1780520679124,Long,1790.187966,1789.482032,1.0,-0.7059340000000702,0.0,0.0,-0.7059340000000702,-3.9433512759970717
ETHUSDT,S2,1780520747310,1780520758501,Long,1795.7090699999999,1796.0607160000002,1.0,0.3516460000003008,0.0,0.0,0.3516460000003008,1.9582570800307912
ETHUSDT,S2,1780525918122,1780525929163,Long,1830.1259519999999,1831.28367,1.0,1.157718000000159,0.0,0.0,1.157718000000159,6.325892481525551
ETHUSDT,S2,1780527601403,1780527602547,Long,1829.035734,1828.294268,1.0,-0.7414659999999458,0.0,0.0,-0.7414659999999458,-4.053862842681595
ETHUSDT,S2,1780537282526,1780537285839,Long,1782.076344,1782.6434,1.0,0.5670559999998659,0.0,0.0,0.5670559999998659,3.181996113180356
ETHUSDT,S2,1780539975425,1780539981258,Long,1767.733476,1767.166496,1.0,-0.5669800000000578,0.0,0.0,-0.5669800000000578,-3.2073839619930227
ETHUSDT,S2,1780540158922,1780540161812,Long,1766.2531800000002,1765.206888,1.0,-1.0462920000002214,0.0,0.0,-1.0462920000002214,-5.923794005569582
ETHUSDT,S2,1780541444881,1780541458923,Long,1777.345398,1776.764576,1.0,-0.5808219999998983,0.0,0.0,-0.5808219999998983,-3.2679185523167416
ETHUSDT,S2,1780541686443,1780541688956,Long,1770.534036,1769.7859720000001,1.0,-0.7480639999998857,0.0,0.0,-0.7480639999998857,-4.225075512752728
ETHUSDT,S2,1780541719135,1780541721552,Long,1771.1441579999998,1770.125904,1.0,-1.0182539999998426,0.0,0.0,-1.0182539999998426,-5.7491311218261805
ETHUSDT,S2,1780541786027,1780541789393,Long,1771.1141519999999,1770.1459,1.0,-0.9682519999998931,0.0,0.0,-0.9682519999998931,-5.466909057818274
ETHUSDT,S2,1780546293021,1780546295938,Long,1812.9225119999999,1812.807366,1.0,-0.11514599999986785,0.0,0.0,-0.11514599999986785,-0.6351402182812536
ETHUSDT,S2,1780559916854,1780559917902,Long,1777.25538,1776.34466,1.0,-0.910720000000083,0.0,0.0,-0.910720000000083,-5.124305770845848
ETHUSDT,S2,1780571082678,1780571085574,Long,1742.238378,1741.5716160000002,1.0,-0.6667619999998351,0.0,0.0,-0.6667619999998351,-3.827042317626154
ETHUSDT,S2,1780571502212,1780571506601,Long,1735.69707,1735.142902,1.0,-0.5541679999998905,0.0,0.0,-0.5541679999998905,-3.1927691160986438
ETHUSDT,S2,1780571770947,1780571773881,Long,1738.627656,1738.432244,1.0,-0.19541199999980563,0.0,0.0,-0.19541199999980563,-1.1239439297162868
ETHUSDT,S2,1780572661603,1780572666396,Long,1751.070144,1749.5600180000001,1.0,-1.5101259999999002,0.0,0.0,-1.5101259999999002,-8.624017748085711
ETHUSDT,S2,1780573894541,1780573895859,Long,1748.8497,1748.110308,1.0,-0.7393919999999525,0.0,0.0,-0.7393919999999525,-4.22787618627234
ETHUSDT,S2,1780576322082,1780576334973,Long,1774.764882,1773.655198,1.0,-1.1096840000000157,0.0,0.0,-1.1096840000000157,-6.252569065652809
ETHUSDT,S2,1780585832592,1780585833592,Long,1790.9581199999998,1789.8019680000002,1.0,-1.1561519999995653,0.0,0.0,-1.1561519999995653,-6.455494336180041
ETHUSDT,S2,1780585866892,1780585869992,Long,1787.80749,1788.182292,1.0,0.37480200000004515,0.0,0.0,0.37480200000004515,2.0964337720726585
ETHUSDT,S2,1780586990792,1780586996092,Long,1778.6756639999999,1778.2542779999999,1.0,-0.42138599999998405,0.0,0.0,-0.42138599999998405,-2.369099710131212
ETHUSDT,S2,1780587216792,1780587217793,Long,1776.00513,1775.2948700000002,1.0,-0.7102599999998347,0.0,0.0,-0.7102599999998347,-3.9992001599670757
ETHUSDT,S2,1780587289092,1780587292192,Long,1777.775484,1776.884552,1.0,-0.8909320000000207,0.0,0.0,-0.8909320000000207,-5.011498966086658
ETHUSDT,S2,1780588024392,1780588025392,Long,1775.40501,1775.074914,1.0,-0.33009599999991224,0.0,0.0,-0.33009599999991224,-1.8592715360193348
ETHUSDT,S2,1780588197593,1780588199693,Long,1773.294588,1772.5254240000002,1.0,-0.7691639999998188,0.0,0.0,-0.7691639999998188,-4.33748574661425
ETHUSDT,S2,1780590539092,1780590546192,Long,1772.0743439999999,1771.235682,1.0,-0.8386619999998857,0.0,0.0,-0.8386619999998857,-4.73265697254452
ETHUSDT,S2,1780596029192,1780596034292,Long,1768.5136320000001,1767.79637,1.0,-0.7172620000001189,0.0,0.0,-0.7172620000001189,-4.055733509890858
ETHUSDT,S2,1780600348793,1780600355292,Long,1771.70427,1771.235682,1.0,-0.46858799999995426,0.0,0.0,-0.46858799999995426,-2.644843205124489
ETHUSDT,S2,1780604085392,1780604093792,Long,1771.844298,1771.175694,1.0,-0.6686039999999593,0.0,0.0,-0.6686039999999593,-3.7734918398566837
