symbol,event_date,event_hour,era,stress_abs,variable,baseline,phi,lambda_per_h,half_life_h,r2,n_pairs,t_return_defined,t_return_h,censored,shock_excess
BTCUSDT,2020-11-03,445669,OTHER,False,activity_volume,3.46920646193842,0.45515560114600623,9.445391255430367,0.07338469755410497,0.20801259145851547,287,True,2,False,0.5838165928614981
BTCUSDT,2020-11-03,445669,OTHER,False,activity_ntrades,4.418840607796598,0.5751893795117219,6.636671240854804,0.10444199439818384,0.33255614391299126,287,True,20,False,0.39629335050543385
BTCUSDT,2020-11-03,445669,OTHER,False,realized_vol,2.230737536469727,0.41137792835577763,10.658915439428192,0.06502980387628723,0.16944409087548973,287,True,20,False,0.13227451638662105
BTCUSDT,2020-11-04,445702,OTHER,False,activity_volume,3.711980452274992,0.6832123822744315,4.57139415280834,0.15162708735892416,0.4618368791592674,287,True,5,False,0.32840300881982126
BTCUSDT,2020-11-04,445702,OTHER,False,activity_ntrades,4.61512051684126,0.7727567654170446,3.0934913162417828,0.2240663088080154,0.5874615756891917,287,True,24.0,True,0.20909570491212612
BTCUSDT,2020-11-04,445702,OTHER,False,realized_vol,2.494257640686035,0.4412810240886747,9.81688036388192,0.070607683384852,0.19342669609921004,287,True,2,False,0.2327077840515094
BTCUSDT,2020-11-05,445726,OTHER,False,activity_volume,4.1283346677188115,0.546666306565345,7.247000466649793,0.09564607919507688,0.2999023273605804,287,True,10,False,0.9617558441182089
BTCUSDT,2020-11-05,445726,OTHER,False,activity_ntrades,5.062595033026967,0.6479270074831538,5.207726780969362,0.1330997592064389,0.4222445469643773,287,True,12,False,0.9883211992253891
BTCUSDT,2020-11-05,445726,OTHER,False,realized_vol,2.6609816920426437,0.4607799332949373,9.298016617028466,0.07454785349496039,0.21281281013971454,287,True,7,False,0.8492693041584819
BTCUSDT,2020-11-07,445766,OTHER,False,activity_volume,3.671784237910775,0.6434258585213797,5.291381694681813,0.13099549806747146,0.4145352171660025,287,True,9,False,1.0070897685958415
BTCUSDT,2020-11-07,445766,OTHER,False,activity_ntrades,4.553876891600541,0.7250999113564968,3.8573498982556376,0.1796951790329933,0.5246330636864125,287,True,9,False,0.8078091048369455
BTCUSDT,2020-11-07,445766,OTHER,False,realized_vol,2.370189541988846,0.6304217178564969,5.536395481408715,0.12519827799288222,0.3982609187956243,287,True,11,False,0.5918860298399279
BTCUSDT,2020-11-08,445793,OTHER,False,activity_volume,3.854996996643786,0.6450198561438277,5.261690135293099,0.1317347017283704,0.4157293341655539,287,True,4,False,0.41048759046926014
BTCUSDT,2020-11-08,445793,OTHER,False,activity_ntrades,4.668133964286986,0.7450815457305564,3.5311393108337437,0.19629562006611545,0.5562292253026215,287,True,17,False,0.2148031369311483
BTCUSDT,2020-11-08,445793,OTHER,False,realized_vol,2.5352896735070414,0.5268093548850119,7.690998615917611,0.0901244708489973,0.27865774078380134,287,True,8,False,0.26294494663666185
BTCUSDT,2020-11-12,445881,OTHER,False,activity_volume,4.006614733438864,0.509560282830316,8.090485388311116,0.08567436282146718,0.2603070097546477,287,True,3,False,1.324581220771431
BTCUSDT,2020-11-12,445881,OTHER,False,activity_ntrades,4.83229782212689,0.6301785206990204,5.5410256025790385,0.12509366140400505,0.4032439866080987,287,True,12,False,1.4202494522573463
BTCUSDT,2020-11-12,445881,OTHER,False,realized_vol,2.3674368034565436,0.476150020431971,8.904267665175558,0.07784437829411085,0.22972887918366391,287,True,3,False,1.0786540972212302
BTCUSDT,2020-11-17,446008,OTHER,False,activity_volume,4.155599675763344,0.6533306150249802,5.108063713324682,0.13569665913755746,0.43635854077379577,287,True,4,False,1.6719420768322777
BTCUSDT,2020-11-17,446008,OTHER,False,activity_ntrades,4.871365886828366,0.7485546336424802,3.475333043374065,0.1994476995180283,0.5731196534412307,287,True,6,False,1.439289740586491
BTCUSDT,2020-11-17,446008,OTHER,False,realized_vol,2.39648189383175,0.6196082913660678,5.744013464693517,0.1206729727951516,0.3931425524015594,287,True,6,False,1.0578808914449023
BTCUSDT,2020-11-19,446053,OTHER,False,activity_volume,4.429357284536332,0.5009264053773634,8.295553009701969,0.0835564765542795,0.25170114489319906,287,True,3,False,1.0542628408559043
